ID,ADDRESS,SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN,NEAREST_STN_DIST,DATE_SOLD,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH,NEAREST_SCH_DIST,NEAREST_SCH_RANK
31,17 Bilya Gardens,Leda,290000,3,1,1,606,126,1995,34900,Wellard Station,1100,"07-2015",6170,-32.26236,115.80588,PETER CARNLEY ANGLICAN COMMUNITY SCHOOL,1.031501417,
32,98 Benenden Avenue,Butler,515000,4,2,2,627,204,2006,37500,Butler Station,878,"10-2018",6036,-31.64248504,115.703348,BUTLER COLLEGE,1.139829192,39
33,46 Galileo Avenue,Tapping,560000,5,2,2,615,220,2008,26300,Currambine Station,4700,"05-2019",6065,-31.72146548,115.7998887,JOSEPH BANKS SECONDARY COLLEGE,2.554211323,92
34,158 Eton Street,Joondanna,645000,2,2,2,749,123,1954,4500,Glendalough Station,2200,"05-2016",6060,-31.91285683,115.8461665,ARANMORE CATHOLIC COLLEGE,1.60588956,106
35,25 Greenough Court,Jane Brook,470000,4,2,2,700,148,2000,20800,Midland Station,5900,"06-2016",6056,-31.85676,116.04861,SWAN VIEW SENIOR HIGH SCHOOL,3.440737964,
36,40 Craignish Loop,Kinross,525000,4,2,2,600,146,1998,28600,Currambine Station,1300,"04-2018",6028,-31.71499,115.74349,LAKE JOONDALUP BAPTIST COLLEGE,3.022048794,80
37,92 Kent Street,East Victoria Park,675000,3,1,3,650,138,1977,5100,Oats Street Station,2000,"06-2018",6101,-31.98691,115.89461,KENT STREET SENIOR HIGH SCHOOL,0.227666,93
38,274 Pinjar Road,Mariginiup,2400000,1,1,1,60341,120,1935,26400,Currambine Station,5500,"11-2014",6078,-31.71947,115.80819,JOSEPH BANKS SECONDARY COLLEGE,2.560309274,92
39,3 Betchel Court,Rivervale,545000,4,2,2,396,146,1996,5500,Vic,1300,"09-2018",6103,-31.96697,115.9146,ST CLARE'S SCHOOL,0.730418305,
40,42 Kells Road,Alkimos,260000,2,1,1,197,68,2014,39000,Butler Station,760,"04-2018",6038,-31.62854661,115.7005641,BUTLER COLLEGE,2.68427094,39
41,14 Raspins Loop,Burns Beach,802000,4,2,3,606,248,2010,28300,Currambine Station,1800,"11-2017",6028,-31.72259857,115.7314772,LAKE JOONDALUP BAPTIST COLLEGE,3.280664861,80
42,41 Hollingsworth Avenue,Koondoola,395000,3,1,1,766,97,1978,11800,Warwick Station,6300,"09-2020",6064,-31.84602,115.86254,MERCY COLLEGE,0.490568364,46
43,153 Matlock Street,Mount Hawthorn,700000,3,1,1,773,149,1958,4700,Glendalough Station,1200,"11-2020",6016,-31.91434971,115.8363078,SERVITE COLLEGE,1.319535515,65
44,69 Adams Road,Mariginiup,785000,4,2,2,11656,322,1986,27900,Currambine Station,8000,"04-2006",6078,-31.70269,115.83087,JOSEPH BANKS SECONDARY COLLEGE,3.27459258,92
45,7 Moorine Court,Hillman,355000,4,2,,698,195,1980,37600,Rockingham Station,1100,"06-2009",6168,-32.28045,115.76296,KOLBE CATHOLIC COLLEGE,0.846813287,97
46,23 Haig Street,Ashfield,445000,4,2,2,463,139,1997,8300,Ashfield Station,392,"10-2011",6054,-31.91632,115.93647,CYRIL JACKSON SENIOR CAMPUS,0.681348547,
47,3 Cygnus Parade,Waterford,1380000,3,2,2,443,284,2015,7700,Canning Bridge Station,3800,"07-2015",6152,-32.01396854,115.8965207,CLONTARF ABORIGINAL COLLEGE,0.383923424,
48,35 Bridgeman Drive,Bennett Springs,453000,5,2,4,430,160,2003,12700,Ashfield Station,5900,"09-2017",6063,-31.85982207,115.936875,KIARA COLLEGE,1.967855997,
49,10 Fletcher Street,Applecross,875000,2,1,1,464,125,1952,7600,Canning Bridge Station,2300,"02-2019",6153,-32.01734,115.83377,APPLECROSS SENIOR HIGH SCHOOL,1.344537125,34
50,910 Coulston Road,Boya,605000,4,2,1,2319,175,1982,18700,Midland Station,5000,"04-2017",6056,-31.91298,116.05128,TREETOPS MONTESSORI SCHOOL,2.303952479,
51,38 Mcintyre Avenue,Burns Beach,843000,4,2,2,416,268,2016,28500,Currambine Station,2500,"10-2018",6028,-31.72322261,115.7240717,YOUTH FUTURES COMMUNITY SCHOOL,3.595248251,
52,8 Ridley Way,Medina,305000,3,1,2,728,91,1963,31300,Kwinana Station,3900,"03-2016",6167,-32.22941,115.80213,GILMORE COLLEGE,1.54662748,138
53,2 Drammen Elbow,Merriwa,340000,4,2,2,654,142,1996,35000,Butler Station,3300,"06-2016",6030,-31.66413,115.71044,ALKIMOS BAPTIST COLLEGE,0.423598948,
54,53 Charthouse Road,Safety Bay,376000,4,3,2,894,147,1984,41500,Rockingham Station,3000,"08-2019",6169,-32.31143,115.74153,SAFETY BAY SENIOR HIGH SCHOOL,0.907406653,136
55,24 Salwood Loop,Banksia Grove,450000,4,2,2,510,214,2012,29600,Clarkson Station,6100,"10-2020",6031,-31.6895488,115.8031456,JOSEPH BANKS SECONDARY COLLEGE,1.189559889,92
56,14 Woonan Place,Karawara,640000,3,1,2,822,130,1986,6300,Canning Bridge Station,2100,"11-2013",6152,-32.00681,115.87761,COMO SECONDARY COLLEGE,0.702223264,87
57,63 Cantrell Circuit,Landsdale,590000,4,2,2,701,236,1999,16900,Whitfords Station,7500,"12-2020",6065,-31.80078,115.86184,LANDSDALE CHRISTIAN SCHOOL,0.837288521,
58,41 Coldstream Street,West Leederville,900000,2,2,2,409,170,1921,2700,Leederville Station,434,"07-2019",6007,-31.9364,115.83678,PERTH MODERN SCHOOL,0.964601881,1
59,6 Wilgerup Place,Hillman,280000,3,1,,670,87,1978,38300,Rockingham Station,488,"04-2009",6168,-32.2863,115.76374,KOLBE CATHOLIC COLLEGE,1.157036083,97
60,25 FAIRWAY VIEW,Casuarina,640000,4,1,1,8289,111,1995,31400,Kwinana Station,3200,"01-2008",6167,-32.2342,115.87613,THE KING'S COLLEGE,4.147444734,
61,29 Birkett Avenue,Beeliar,420000,3,2,2,576,128,2002,20900,Cockburn Central Station,3800,"01-2020",6164,-32.13738,115.82101,DIVINE MERCY COLLEGE,1.465267453,
62,6 Carlin Way,Butler,321000,4,2,2,372,147,2006,36100,Butler Station,2300,"06-2020",6036,-31.65208526,115.713957,IRENE MCCORMACK CATHOLIC COLLEGE,0.480172942,120
63,4 Bomaria Close,South Lake,377000,4,2,2,724,160,,16900,Cockburn Central Station,3200,"12-2018",6164,-32.10308,115.83704,LAKELAND SENIOR HIGH SCHOOL,1.068047772,
64,51 Margaret Street,Watermans Bay,1450000,4,3,2,1024,272,,14900,Warwick Station,3800,"10-2012",6020,-31.85061633,115.7568631,CARINE SENIOR HIGH SCHOOL,1.813144343,47
65,26 Christmas Avenue,Orelia,257000,3,1,2,728,89,1970,31600,Kwinana Station,2500,"05-2018",6167,-32.23399,115.81552,GILMORE COLLEGE,0.480378887,138
66,6 Clifftop Court,Edgewater,570000,4,2,2,720,212,1982,21700,Edgewater Station,1000,"05-2015",6027,-31.76658,115.78758,MATER DEI COLLEGE,1.067565028,104
67,22 Pioneer Drive,Edgewater,511000,3,2,2,801,131,1981,22200,Edgewater Station,777,"12-2018",6027,-31.7651,115.77886,MATER DEI COLLEGE,0.226695108,104
68,16 Sandown Circle,Henley Brook,615000,4,2,2,742,267,2003,20300,East Guildford Station,10900,"02-2015",6055,-31.79849,115.97503,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,1.087776191,53
69,38 Glengyle Turn,Quinns Rocks,640000,4,2,2,642,228,2005,36700,Butler Station,2400,"02-2018",6030,-31.65505,115.69058,BUTLER COLLEGE,1.756588647,39
70,32D Blackwall Reach Parade,Bicton,1737500,3,2,2,2103,193,1987,10900,North Fremantle Station,2800,"06-2020",6157,-32.02444642,115.7811547,SANTA MARIA COLLEGE,1.527877329,10
71,9 Cato Place,Lockridge,300000,3,1,1,221,111,1972,11700,Success Hill Station,1900,"08-2015",6054,-31.88336034,115.9530874,KIARA COLLEGE,1.821721238,
72,69 Millen Street,Mount Nasura,445000,3,1,2,1255,162,1971,25900,Challis Station,1900,"01-2016",6112,-32.13312918,116.0311561,SOWILO COMMUNITY HIGH SCHOOL,2.023485262,
73,49 Moojebing Street,Ashfield,495000,4,2,,462,172,2004,8000,Ashfield Station,1000,"05-2007",6054,-31.92147159,115.9355945,CYRIL JACKSON SENIOR CAMPUS,1.152249424,
74,6 Taiof Close,Secret Harbour,475000,4,2,4,703,173,1998,50900,Warnbro Station,8400,"06-2020",6173,-32.40002,115.74779,COMET BAY COLLEGE,2.26335256,35
75,5 Enlie Lane,Warnbro,322000,4,2,1,564,163,1999,44800,Warnbro Station,2300,"10-2020",6169,-32.34764229,115.7686096,WARNBRO COMMUNITY HIGH SCHOOL,0.92321474,
76,22 Caloundra Street,Secret Harbour,432000,4,2,2,429,191,2012,52000,Warnbro Station,9500,"12-2020",6173,-32.41127535,115.75281,COMET BAY COLLEGE,1.081367875,35
77,1 Waugh Court,North Lake,1150000,5,2,4,855,416,,14400,Murdoch Station,3200,"09-2013",6163,-32.077,115.81942,NORTH LAKE SENIOR CAMPUS,0.661544922,
78,1 Reflection Mews,Safety Bay,419000,3,2,2,741,214,2005,41000,Rockingham Station,4100,"07-2019",6169,-32.30085198,115.7197475,SAFETY BAY SENIOR HIGH SCHOOL,2.012994416,136
79,23 The Boardwalk,Ascot,920000,4,2,2,314,265,2001,6000,Bayswater Station,2400,"11-2014",6104,-31.93909,115.91996,BELMONT CITY COLLEGE,2.591767174,57
80,17 Plankton Place,Heathridge,410000,2,1,1,683,86,1977,23100,Joondalup Station,2200,"11-2017",6027,-31.76262,115.75844,BELRIDGE SECONDARY COLLEGE,0.972797472,102
81,16 Loder Way,South Guildford,900000,4,2,2,1304,218,1979,10400,Success Hill Station,1800,"05-2016",6055,-31.91598,115.95999,CYRIL JACKSON SENIOR CAMPUS,1.689553493,
82,61 Lakes Road,Hazelmere,400000,3,1,2,229,123,1978,14300,Midland Station,2300,"04-2004",6055,-31.91201418,116.0024666,YOUTH FUTURES COMMUNITY SCHOOL,2.232961171,
83,14 Daytona Drive,Iluka,1065000,4,3,,694,373,2007,27600,Currambine Station,2100,"03-2017",6028,-31.72965,115.7291,PRENDIVILLE CATHOLIC COLLEGE,2.959007517,60
84,8 Tamarama Street,Secret Harbour,390000,4,2,2,684,183,2006,51000,Warnbro Station,8500,"02-2019",6173,-32.403272,115.766041,COMET BAY COLLEGE,1.423019756,35
85,6 Mercado Way,Alkimos,430000,4,2,2,450,225,2014,39400,Butler Station,1100,"09-2018",6038,-31.62583583,115.6981881,BUTLER COLLEGE,3.040428752,39
86,1/14a Norman Street,St James,450000,3,2,2,266,119,2009,7200,Welshpool Station,743,"07-2016",6102,-31.99502415,115.9153033,AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,2.331647635,102
87,15 Iluka Avenue,Mullaloo,1675000,5,4,3,809,210,1995,22100,Edgewater Station,4100,"02-2018",6027,-31.7826,115.73685,ST MARK'S ANGLICAN COMMUNITY SCHOOL,1.856629599,58
88,12 Rand Avenue,Waikiki,445000,3,2,3,752,213,1980,42400,Warnbro Station,2200,"05-2019",6169,-32.32077,115.74545,SOUTH COAST BAPTIST COLLEGE,1.283017817,
89,26 Bernley Drive,Viveash,500000,4,2,2,563,200,1994,15500,Midland Station,1800,"03-2010",6056,-31.87612,115.99691,LA SALLE COLLEGE,0.759094457,53
90,20A Lynwood Avenue,Lynwood,478800,3,2,4,404,147,2008,11500,Thornlie Station,2500,"11-2014",6147,-32.03684506,115.928615,FOUNTAIN COLLEGE,0.81226888,
91,29 Aquanita Rise,Darling Downs,680000,5,2,2,7090,265,,31400,Armadale Station,5400,"04-2013",6122,-32.201795,116.0127332,BYFORD SECONDARY COLLEGE,2.614432902,116
92,15 Blechynden Street,St James,635000,2,1,2,799,109,1958,6800,Welshpool Station,1600,"07-2016",6102,-31.99822,115.90655,CANNING COLLEGE,1.531553388,
93,25 Morrison Road,Woodbridge,440000,2,1,1,1012,420,1935,14900,Midland Station,517,"09-2009",6056,-31.88821082,115.9971545,GOVERNOR STIRLING SENIOR HIGH SCHOOL,0.792631434,130
94,86 Semerwater Crescent,Aveley,440000,4,2,2,483,214,2015,22200,Woodbridge Station,11200,"08-2019",6069,-31.79102396,115.9966092,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,1.117653041,53
95,17 Cavender Street,Singleton,329000,3,1,1,870,97,1975,56300,Mandurah Station,8600,"11-2020",6175,-32.45047,115.75548,MANDURAH BAPTIST COLLEGE,3.126753743,109
96,110 Boomerang Loop,Banksia Grove,361000,4,2,2,450,136,2011,29600,Clarkson Station,6400,"12-2018",6031,-31.6898342,115.8051495,JOSEPH BANKS SECONDARY COLLEGE,1.273922433,92
97,4 Edmondson Crescent,Karrinyup,860000,3,2,2,809,114,1970,11000,Stirling Station,2900,"03-2020",6018,-31.8801,115.77911,ST MARY'S ANGLICAN GIRLS' SCHOOL,1.26408487,7
98,50 Grand Ocean Boulevard,Port Kennedy,399000,4,2,2,650,154,1996,45100,Warnbro Station,2600,"10-2018",6172,-32.34716,115.75404,LIVING WATERS LUTHERAN COLLEGE,0.455511674,51
99,47 Aviator Boulevard,Clarkson,535000,4,2,2,361,203,2014,31200,Clarkson Station,1700,"09-2019",6030,-31.69739418,115.7215049,YOUTH FUTURES COMMUNITY SCHOOL,0.717396154,
100,42 Markham Way,Swan View,490000,6,2,4,1000,189,1992,19200,Midland Station,4600,"10-2016",6056,-31.89289,116.0493,SWAN VIEW SENIOR HIGH SCHOOL,0.762962494,
101,56 Camira Way,Quinns Rocks,599000,4,2,2,616,197,2004,35900,Butler Station,2900,"10-2020",6030,-31.66116218,115.6955512,ALKIMOS BAPTIST COLLEGE,1.387949024,
102,9 Ganges Way,Bertram,315000,3,2,2,297,114,2013,33000,Kwinana Station,1500,"06-2017",6167,-32.24826257,115.8473661,THE KING'S COLLEGE,1.036576835,
103,32a Elder Parade,Bassendean,410000,3,1,1,400,85,1992,9500,Bassendean Station,1100,"12-2018",6054,-31.91311,115.94816,CYRIL JACKSON SENIOR CAMPUS,0.538204855,
104,55 Barrett Street,Herne Hill,450000,1,1,4,25596,64,1997,19600,Midland Station,6700,"05-2013",6056,-31.8319,116.010033,SWAN CHRISTIAN COLLEGE,2.94169508,93
105,3 Pinaster Street,Menora,1200000,4,2,2,743,235,1998,4000,Perth Station,3900,"01-2017",6050,-31.91652,115.86216,MOUNT LAWLEY SENIOR HIGH SCHOOL,0.887129515,20
106,24 Currajong Crescent,Craigie,475000,4,1,2,733,122,1974,21100,Edgewater Station,2000,"08-2017",6025,-31.78191,115.76107,BELRIDGE SECONDARY COLLEGE,1.297423608,102
107,49 Borah Court,Caversham,318000,4,2,3,500,106,1995,13300,Success Hill Station,3900,"08-2017",6055,-31.86516,115.95529,KIARA COLLEGE,2.346462592,
108,19 Inverness Court,Cooloongup,310000,4,2,2,544,143,,38900,Rockingham Station,998,"12-2020",6168,-32.29336,115.77123,KOLBE CATHOLIC COLLEGE,2.202324312,97
109,34 Matson Street,Medina,163000,2,1,,729,69,1953,31300,Kwinana Station,3300,"06-2017",6167,-32.22959,115.80865,GILMORE COLLEGE,1.125356328,138
110,76 Gooseberry Hill Road,Gooseberry Hill,940000,4,3,2,1902,295,2003,17300,Midland Station,7900,"01-2015",6076,-31.95278202,116.0425169,KALAMUNDA SENIOR HIGH SCHOOL,3.075313057,107
111,24 Olebury Street,Nollamara,445000,2,1,1,765,112,1963,7500,Stirling Station,3500,"03-2018",6061,-31.88650408,115.8401008,DIANELLA SECONDARY COLLEGE,1.676699633,
112,43 Federation Drive,Singleton,535000,4,2,6,770,173,1997,55200,Mandurah Station,9700,"05-2017",6175,-32.44105,115.75791,COMET BAY COLLEGE,2.848342369,35
113,2 Lockeville Close,Beldon,526000,3,1,2,771,75,,21900,Edgewater Station,972,"10-2014",6027,-31.77155,115.7684,BELRIDGE SECONDARY COLLEGE,0.510755052,102
114,84 Lakevalley Drive,Edgewater,570000,4,2,2,793,138,1989,23300,Edgewater Station,2000,"09-2018",6027,-31.75441,115.77984,MATER DEI COLLEGE,1.182606061,104
115,56 Foreshore Drive,Singleton,515000,4,2,2,809,126,1975,56400,Mandurah Station,8600,"02-2017",6175,-32.45054,115.75089,MANDURAH BAPTIST COLLEGE,3.207645771,109
116,68 Strickland Street,Swanbourne,1085000,4,2,2,514,309,2003,8100,Claremont Station,1300,"03-2017",6010,-31.97018227,115.7754789,SCOTCH COLLEGE,1.237003055,24
117,113 Beachside Parade,Yanchep,298000,3,2,2,398,173,,50800,Butler Station,12600,"09-2018",6035,-31.53926057,115.6305514,YANCHEP SECONDARY COLLEGE,1.914747033,
118,19 Canns Road,Bedfordale,1050000,5,3,2,49378,200,,26900,Sherwood Station,2300,"05-2014",6112,-32.1419612,116.0346979,SOWILO COMMUNITY HIGH SCHOOL,2.639392217,
119,1 Colonial Mews,Edgewater,525000,4,2,1,758,125,1984,22100,Edgewater Station,670,"10-2017",6027,-31.76607,115.77891,MATER DEI COLLEGE,0.275135216,104
120,4 Hebble Loop,Banjup,1040000,4,3,2,19999,216,1990,21700,Cockburn Central Station,3700,"06-2014",6164,-32.14501,115.88959,ATWELL COLLEGE,2.399137484,129
121,56 Walker Road,Serpentine,920000,4,2,2,21927,214,1998,48200,Warnbro Station,19200,"03-2016",6125,-32.37611707,115.9618043,COURT GRAMMAR SCHOOL,12.16118992,
122,2726 South Western Highway,Serpentine,1150000,4,2,2,213232,278,,49900,Armadale Station,26100,"09-2020",6125,-32.38709,115.98935,COURT GRAMMAR SCHOOL,13.06315648,
123,25 Coonawarra Drive,Caversham,415000,4,2,4,574,170,1999,13600,Success Hill Station,4000,"06-2018",6055,-31.86398,115.95879,KIARA COLLEGE,2.693023882,
124,42 Queen Street,Bentley,475000,3,1,2,650,130,1980,8100,Welshpool Station,1300,"05-2017",6102,-32.00554108,115.9167215,CANNING COLLEGE,1.898715503,
125,11 Gambie Close,Murdoch,865000,5,2,2,722,230,1988,12200,Murdoch Station,1700,"07-2014",6150,-32.05996,115.83444,CORPUS CHRISTI COLLEGE,0.863448187,28
126,8 Thompson Road,Roleystone,631500,3,1,2,2428,143,,28200,Challis Station,5800,"11-2016",6111,-32.12693,116.06853,KELMSCOTT SENIOR HIGH SCHOOL,5.448187827,113
127,49 Vines Avenue,The Vines,745000,4,3,4,4051,326,1990,24600,Midland Station,13800,"09-2020",6069,-31.76754,116.00279,HOLY CROSS COLLEGE,2.807270113,98
128,20 Tyre Avenue,Riverton,882500,4,3,1,1011,227,1973,9800,Welshpool Station,4700,"06-2019",6148,-32.03273,115.90072,LYNWOOD SENIOR HIGH SCHOOL,1.775821276,96
129,5 Matuka Mews,Maida Vale,510000,4,2,2,587,188,2002,15400,Midland Station,7100,"06-2017",6057,-31.95274,116.02147,DARLING RANGE SPORTS COLLEGE,2.73901842,137
130,3 Roudnice Lane,Champion Lakes,460000,3,2,2,348,164,2011,22100,Kelmscott Station,2200,"02-2016",6111,-32.11638971,115.9904231,KELMSCOTT SENIOR HIGH SCHOOL,2.02416744,113
131,42 Northridge Drive,Ballajura,480000,4,2,2,760,191,1981,14600,Greenwood Station,9100,"11-2020",6066,-31.82205,115.87969,LANDSDALE CHRISTIAN SCHOOL,2.068989309,
132,34 Boyle Avenue,Rockingham,462000,4,2,4,570,218,2003,39200,Rockingham Station,3300,"01-2019",6168,-32.2861,115.72647,ROCKINGHAM SENIOR HIGH SCHOOL,0.860562831,
133,15 Pardillo Way,Caversham,580000,4,2,2,480,219,2012,14100,Guildford Station,3700,"05-2017",6055,-31.86544985,115.9680064,GOVERNOR STIRLING SENIOR HIGH SCHOOL,3.268838391,130
134,2 Tottenham Street,Chidlow,374000,3,1,2,1214,107,1936,39800,Midland Station,25300,"10-2012",6556,-31.86054,116.26583,EASTERN HILLS SENIOR HIGH SCHOOL,4.571752948,105
135,29 Giles Street,North Beach,1200000,2,1,1,505,95,1956,13700,Warwick Station,4600,"12-2017",6020,-31.86701,115.75486,ST MARY'S ANGLICAN GIRLS' SCHOOL,1.544000887,7
136,8 Woodstock Way,Butler,345000,4,2,2,510,143,,36800,Butler Station,1600,"09-2019",6036,-31.64802165,115.7068875,BUTLER COLLEGE,0.439983019,39
137,6 Brougham Crescent,Orelia,351000,3,1,3,646,120,1996,30900,Kwinana Station,1300,"02-2017",6167,-32.22905,115.8305,GILMORE COLLEGE,1.797778471,138
138,1A Bulimba Road,Nedlands,910000,3,2,6,145,134,1981,7000,Loch Street Station,1100,"02-2018",6009,-31.98155317,115.7936796,CHRIST CHURCH GRAMMAR SCHOOL,1.633773908,3
139,28A Braibrise Road,Wilson,482000,4,2,6,495,135,1998,8600,Welshpool Station,2400,"06-2017",6107,-32.01455,115.91304,CANNING COLLEGE,1.605893878,
140,7 Pedder Place,Joondalup,570500,4,2,2,730,152,1991,26300,Joondalup Station,1700,"11-2018",6027,-31.72921,115.76804,LAKE JOONDALUP BAPTIST COLLEGE,1.112332301,80
141,76 Baigup Loop,Cardup,1200000,4,2,4,20230,204,2010,35200,Armadale Station,11500,"09-2015",6122,-32.25173594,115.9769703,COURT GRAMMAR SCHOOL,2.405378498,
142,1 Discovery Circuit,Iluka,1300000,5,3,4,770,350,2002,26600,Currambine Station,3000,"03-2018",6028,-31.74151,115.72522,PRENDIVILLE CATHOLIC COLLEGE,2.004713285,60
